day,bucket,realized_makespan,GA,SBOA,dMShOA,dPSO,best_opt
2020-01-06,25,696.3,477.63,448.83500000000004,477.83000000000004,435.5083333333333,435.5083333333333
2020-01-30,15,705.2833333333333,506.35166666666663,489.7683333333333,519.7083333333333,499.50666666666666,489.7683333333333
2020-01-31,20,559.55,525.6466666666668,518.24,575.37,492.78000000000003,492.78000000000003
2020-02-13,25,633.1666666666666,548.025,548.22,555.4033333333334,538.5383333333333,538.5383333333333
2020-02-17,15,840.4166666666666,402.01000000000005,410.13666666666666,414.93999999999994,418.9416666666667,402.01000000000005
2020-03-04,30,705.1833333333333,482.01000000000005,559.1016666666667,477.27333333333337,459.06333333333333,459.06333333333333
2020-03-06,20,665.0333333333333,547.0833333333333,518.6083333333333,582.8933333333333,520.8683333333332,518.6083333333333
2020-03-18,20,550.6833333333333,474.3016666666666,442.3616666666667,483.7,427.81166666666667,427.81166666666667
2020-05-12,15,647.5,488.65,472.1616666666667,497.2416666666667,464.71999999999997,464.71999999999997
2020-05-14,15,722.5833333333334,740.7733333333333,739.6666666666667,766.8000000000001,745.6316666666668,739.6666666666667
2020-06-04,15,630.1166666666667,390.0783333333333,372.445,385.0083333333333,375.08000000000004,372.445
2020-08-20,20,523.5666666666667,555.5683333333334,534.5383333333333,548.9033333333333,520.0866666666667,520.0866666666667
2020-09-29,20,514.2833333333333,616.6066666666667,641.7983333333333,679.1216666666667,649.9783333333332,616.6066666666667
2020-09-30,20,526.1833333333333,486.075,501.8616666666667,536.825,535.3966666666668,486.075
2020-10-02,15,510.03333333333336,525.6083333333333,543.4583333333333,544.8816666666667,538.7883333333333,525.6083333333333
2020-10-08,25,519.25,511.4516666666667,492.1166666666667,572.01,486.96000000000004,486.96000000000004
2020-10-09,15,484.26666666666665,495.1183333333332,521.8516666666667,540.0016666666667,510.9266666666666,495.1183333333332
2020-10-15,30,518.25,434.2116666666667,448.3033333333334,417.40666666666664,430.3083333333334,417.40666666666664
2020-10-16,20,456.28333333333336,416.21000000000004,388.0866666666667,435.4166666666667,374.325,374.325
